runner,thursday,friday,saturday,sunday,timezone
proprofk,"18:00, 19:30","15:00, 16:30","","",UTC
BP31,"12:00, 1:30, 3:00","12:00","12:00, 1:30, 3:00","12:00, 1:30, 3:00",UTC
Rirure,"15:00, 16:30, 3:00","10:30, 12:00, 13:30","12:00, 13:30","12:00, 13:30, 15:00, 16:30",UTC
reyalsdiorteM,"13:30, 15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30, 3:00","21:00, 22:30, 24:00, 1:30, 3:00","10:30, 12:00, 13:30, 15:00","18:00, 19:30, 21:00, 22:30, 24:00, 1:30, 3:00",UTC
Bugfish,"15:00, 16:30, 18:00, 19:30","13:30, 15:00, 16:30, 18:00, 19:30","","",UTC
SMOgamer,"","21:00, 24:00, 1:30","16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30","16:30, 18:00, 19:30, 21:00",UTC
Lucid,"15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30","15:00, 16:30, 18:00, 19:30, 21:00","13:30, 15:00","13:30, 15:00",UTC
kurbi,"19:30","19:30, 21:00","12:00, 13:30, 15:00","12:00, 13:30, 15:00, 19:30, 21:00",UTC
PixelPanda,"","","15:00, 16:30, 18:00","13:30, 15:00, 16:30, 18:00, 19:30, 24:00, 1:30",UTC
ZackInTheBox,"10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30","18:00, 19:30, 21:00","19:30, 21:00, 22:30","10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30",UTC
Sa1102,"19:30, 21:00","13:30, 15:00, 16:30, 19:30, 21:00, 22:30","12:00, 19:30, 21:00, 22:30","16:30, 19:30",UTC
vCheriba,"13:30, 15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00","","","13:30, 15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00",UTC
cmanrulo,"13:30, 15:00, 21:00, 22:30, 24:00, 1:30","19:30, 21:00, 22:30, 24:00, 1:30","13:30, 15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30","13:30, 15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30",UTC
goryuya,"10:30, 12:00, 13:30, 15:00","10:30, 12:00, 13:30, 15:00","10:30, 12:00, 13:30, 15:00, 3:00","10:30, 12:00, 13:30, 15:00, 3:00",UTC
GMan,"3:00","3:00","18:00, 19:30, 21:00, 22:30, 24:00, 1:30, 3:00","18:00, 19:30, 21:00, 22:30, 24:00, 1:30, 3:00",UTC
GoodGoomba,"","10:30, 3:00","10:30, 1:30, 3:00","10:30",UTC
Mark Lukas,"13:30, 15:00, 16:30, 18:00, 19:30","16:30, 18:00, 19:30, 21:00","10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30, 21:00","",UTC
Game Nerd,"","1:30, 3:00","24:00, 1:30, 3:00","10:30, 12:00, 13:30, 24:00, 1:30",UTC
The-G,"10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30, 21:00","10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30, 21:00","10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30, 21:00","10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30, 21:00",UTC
Wuxwu,"10:30, 12:00, 13:30, 15:00, 16:30","10:30, 12:00, 13:30, 15:00, 16:30","10:30, 12:00, 13:30, 15:00, 16:30","10:30, 12:00, 13:30, 15:00, 16:30",UTC
anttosr,"16:30, 18:00","15:00, 16:30, 18:00, 19:30","15:00, 16:30, 18:00, 19:30","15:00, 16:30, 18:00",UTC
AdriienSR,"","18:00, 19:30, 21:00","18:00, 19:30, 21:00","18:00",UTC
DannyGeffen,"21:00, 22:30","10:30, 12:00, 13:30, 15:00, 21:00, 22:30","10:30, 12:00, 13:30, 16:30, 18:00","16:30, 18:00, 19:30, 21:00, 22:30",UTC
Jadyboyy,"13:30","10:30, 12:00, 13:30, 15:00, 16:30, 18:00, 19:30","15:00, 16:30, 18:00, 19:30","15:00, 16:30, 18:00",UTC
Zack207,"","","16:30, 18:00, 19:30, 21:00, 22:30, 24:00","16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30",UTC
