runner,thursday,friday,saturday,sunday,timezone,role,max_races_per_day
Nub,"18:00, 19:30, 21:00","18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00",UTC,"Commentator",2
Zypher,"15:00","15:00","22:30, 24:00, 1:30","15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30",UTC,"Restreamer",1
ians.site,"Nothing","Nothing","24:00, 1:30","Nothing",UTC,"Commentator",1
Gevin64,"15:00, 16:30, 18:00","15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00",UTC,"Commentator",3
samdwidge,"19:30, 21:00, 22:30","19:30, 21:00, 22:30","19:30, 21:00, 22:30","19:30, 21:00, 22:30",UTC,"Commentator",2
monika_luv,"18:00, 19:30, 21:00, 22:30, 24:00","18:00, 19:30, 21:00, 22:30, 24:00","19:30, 21:00, 22:30, 24:00","16:30, 18:00, 19:30, 21:00, 22:30, 24:00",UTC,"Restreamer",4
Testing Numero Uno,"18:00, 19:30, 21:00","22:30, 24:00, 1:30","22:30, 24:00","15:00",UTC,"Commentator",2
Testing Numero Dos,"15:00, 16:30","18:00, 19:30","15:00, 16:30","15:00",UTC,"Restreamer",1
moby167,"16:30, 18:00, 21:00, 22:30","Nothing","21:00, 22:30","15:00, 16:30, 18:00, 19:30, 21:00, 22:30",UTC,"Commentator",2
MrKatzenGaming,"15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00","Nothing",UTC,"Commentator",3
mrjerkyjerky,"Nothing","Nothing","15:00, 19:30, 21:00","24:00",UTC,"Restreamer",1
boltcraft,"18:00, 19:30","18:00, 19:30","19:30","15:00, 16:30, 18:00, 19:30",UTC,"Commentator",2
Dansta2106,"15:00, 16:30","15:00, 16:30, 18:00, 19:30, 21:00","Nothing","15:00, 16:30, 18:00, 19:30, 21:00",UTC,"Commentator",2
NimbusTTP,"16:30, 18:00, 19:30","16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00",UTC,"Commentator",3
zackintheboxx,"19:30, 21:00, 22:30","19:30, 21:00, 22:30","15:00, 16:30, 22:30","19:30, 21:00, 22:30",UTC,"Commentator",2
@luigi-587,"15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00","15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00","15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00","15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00",UTC,"Commentator",4
RetroSnug,"15:00, 16:30, 18:00, 22:30, 24:00, 1:30","15:00, 16:30, 18:00, 22:30, 24:00, 1:30","15:00, 16:30, 18:00, 22:30, 24:00, 1:30","15:00, 16:30, 1:30",UTC,"Restreamer",3
proprofk,"Nothing","Nothing","Nothing","22:30, 24:00, 1:30",UTC,"Commentator",1
CrunchySpon,"18:00","18:00, 21:00, 22:30","15:00, 16:30, 18:00, 21:00, 22:30","16:30, 18:00, 21:00, 22:30",UTC,"Commentator",2
Kasual,"21:00, 22:30, 24:00, 1:30","16:30, 18:00, 19:30, 21:00, 22:30, 24:00","Nothing","24:00, 1:30",UTC,"Restreamer",2
TTT|NR|GhettoOtaku,"Nothing","Nothing","15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30","18:00, 19:30, 21:00, 22:30, 24:00, 1:30",UTC,"Commentator",4
umalover,"16:30, 18:00, 19:30, 21:00, 22:30","16:30, 18:00, 19:30","16:30, 18:00, 19:30","Nothing",UTC,"Restreamer",2
Mesa,"15:00, 16:30, 19:30, 21:00","18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00","15:00, 16:30, 18:00, 19:30, 21:00",UTC,"Commentator",3
3strikesurout,"19:30, 21:00, 22:30, 24:00, 1:30","18:00, 19:30, 21:00, 22:30, 24:00, 1:30","21:00, 22:30, 24:00, 1:30","19:30, 21:00, 22:30, 24:00, 1:30",UTC,"Restreamer",4
ShewnaEthan,"22:30, 24:00, 1:30","15:00, 16:30, 18:00, 19:30, 21:00, 22:30, 24:00, 1:30","22:30, 24:00, 1:30","Nothing",UTC,"Commentator",3
